RAM 2323/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [17%@2030,0%@2035,0%@2034,100%@2029,7%@2031,1%@2032] EMC_FREQ 4%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/298 VDD_SYS_SOC 989/925 VDD_4V0_WIFI 0/0 VDD_IN 5638/5106 VDD_SYS_CPU 1218/1434 VDD_SYS_DDR 1596/1360
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [6%@2031,0%@2036,0%@2035,100%@2030,1%@2033,0%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/313 VDD_SYS_SOC 990/927 VDD_4V0_WIFI 0/0 VDD_IN 5409/5117 VDD_SYS_CPU 1142/1423 VDD_SYS_DDR 1519/1366
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2032,0%@2035,0%@2036,100%@2031,0%@2032,0%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.5C VDD_SYS_GPU 685/326 VDD_SYS_SOC 913/927 VDD_4V0_WIFI 0/0 VDD_IN 5333/5125 VDD_SYS_CPU 1142/1412 VDD_SYS_DDR 1500/1371
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [0%@2032,0%@2035,0%@2036,100%@2031,0%@2031,0%@2032] EMC_FREQ 4%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.25C VDD_SYS_GPU 685/339 VDD_SYS_SOC 913/926 VDD_4V0_WIFI 0/0 VDD_IN 5335/5133 VDD_SYS_CPU 1142/1403 VDD_SYS_DDR 1500/1375
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [0%@2031,0%@2036,0%@2035,100%@2029,4%@2031,2%@2029] EMC_FREQ 4%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.25C VDD_SYS_GPU 609/348 VDD_SYS_SOC 913/926 VDD_4V0_WIFI 0/0 VDD_IN 5221/5136 VDD_SYS_CPU 1142/1394 VDD_SYS_DDR 1461/1378
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2031,0%@2035,0%@2035,100%@2035,0%@2037,1%@2037] EMC_FREQ 3%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.3C Tdiode@47.25C VDD_SYS_GPU 533/355 VDD_SYS_SOC 913/925 VDD_4V0_WIFI 0/0 VDD_IN 5030/5132 VDD_SYS_CPU 1142/1385 VDD_SYS_DDR 1403/1379
RAM 2418/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2030,0%@2035,0%@2035,100%@2032,0%@2031,0%@2032] EMC_FREQ 3%@1866 GR3D_FREQ 99%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47.25C VDD_SYS_GPU 533/360 VDD_SYS_SOC 913/925 VDD_4V0_WIFI 0/0 VDD_IN 5030/5129 VDD_SYS_CPU 1142/1377 VDD_SYS_DDR 1403/1380
RAM 2416/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2031,0%@2036,0%@2035,100%@2031,4%@2031,0%@2032] EMC_FREQ 4%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.1C Tdiode@47.25C VDD_SYS_GPU 609/368 VDD_SYS_SOC 989/927 VDD_4V0_WIFI 307/9 VDD_IN 5676/5146 VDD_SYS_CPU 1142/1370 VDD_SYS_DDR 1500/1384
RAM 2417/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2032,0%@2034,0%@2035,100%@2030,6%@2032,7%@2032] EMC_FREQ 4%@1866 GR3D_FREQ 98%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@48C BCPU@48.5C thermal@48.3C Tdiode@47.25C VDD_SYS_GPU 685/378 VDD_SYS_SOC 989/929 VDD_4V0_WIFI 211/15 VDD_IN 5600/5160 VDD_SYS_CPU 1142/1363 VDD_SYS_DDR 1500/1387
RAM 2417/7850MB (lfb 354x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2032,0%@2036,0%@2035,100%@2032,4%@2031,4%@2032] EMC_FREQ 4%@1866 GR3D_FREQ 97%@216 APE 150 MTS fg 0% bg 0% PLL@48.5C MCPU@48.5C PMIC@50C Tboard@44C GPU@47.5C BCPU@48.5C thermal@48.1C Tdiode@47.5C VDD_SYS_GPU 685/387 VDD_SYS_SOC 990/930 VDD_4V0_WIFI 19/15 VDD_IN 5371/5166 VDD_SYS_CPU 1142/1357 VDD_SYS_DDR 1500/1390
