RAM 2423/7850MB (lfb 352x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2035,0%@2035,12%@2028,0%@2031,100%@2031] EMC_FREQ 7%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.3C Tdiode@55C VDD_SYS_GPU 1218/349 VDD_SYS_SOC 1065/961 VDD_4V0_WIFI 0/27 VDD_IN 6476/5420 VDD_SYS_CPU 1294/1567 VDD_SYS_DDR 1750/1379
RAM 2423/7850MB (lfb 352x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2029,0%@2034,0%@2034,0%@2029,0%@2030,100%@2030] EMC_FREQ 9%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.3C Tdiode@55.25C VDD_SYS_GPU 1294/390 VDD_SYS_SOC 1065/966 VDD_4V0_WIFI 0/25 VDD_IN 6552/5470 VDD_SYS_CPU 1218/1552 VDD_SYS_DDR 1788/1396
RAM 2423/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2030,0%@2035,0%@2035,5%@2028,6%@2032,100%@2031] EMC_FREQ 7%@1866 GR3D_FREQ 97%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.3C Tdiode@55C VDD_SYS_GPU 990/415 VDD_SYS_SOC 989/967 VDD_4V0_WIFI 0/24 VDD_IN 6057/5494 VDD_SYS_CPU 1218/1538 VDD_SYS_DDR 1596/1405
RAM 2422/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2031,0%@2035,0%@2035,11%@2031,7%@2032,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 94%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.3C Tdiode@55.25C VDD_SYS_GPU 1218/447 VDD_SYS_SOC 1065/971 VDD_4V0_WIFI 0/23 VDD_IN 6514/5535 VDD_SYS_CPU 1294/1528 VDD_SYS_DDR 1769/1419
RAM 2423/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2035,0%@2035,2%@2030,11%@2028,100%@2031] EMC_FREQ 8%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.3C Tdiode@55.5C VDD_SYS_GPU 1447/485 VDD_SYS_SOC 989/971 VDD_4V0_WIFI 0/22 VDD_IN 6476/5571 VDD_SYS_CPU 1294/1519 VDD_SYS_DDR 1634/1428
RAM 2450/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2029,0%@2034,0%@2035,0%@2027,3%@2032,100%@2030] EMC_FREQ 7%@1866 GR3D_FREQ 65%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55.5C BCPU@56C thermal@55.5C Tdiode@55.5C VDD_SYS_GPU 1674/529 VDD_SYS_SOC 989/972 VDD_4V0_WIFI 0/22 VDD_IN 6702/5613 VDD_SYS_CPU 1218/1508 VDD_SYS_DDR 1653/1436
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [8%@2029,0%@2035,0%@2035,0%@2030,2%@2031,100%@2033] EMC_FREQ 10%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55.5C BCPU@56C thermal@55.5C Tdiode@55.5C VDD_SYS_GPU 1522/565 VDD_SYS_SOC 1065/975 VDD_4V0_WIFI 0/21 VDD_IN 6968/5661 VDD_SYS_CPU 1293/1500 VDD_SYS_DDR 1884/1452
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [1%@2031,0%@2034,0%@2034,0%@2031,3%@2031,100%@2031] EMC_FREQ 17%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55C BCPU@55.5C thermal@55.6C Tdiode@55.25C VDD_SYS_GPU 1218/587 VDD_SYS_SOC 1217/984 VDD_4V0_WIFI 0/20 VDD_IN 7387/5721 VDD_SYS_CPU 1217/1491 VDD_SYS_DDR 2342/1483
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2030,0%@2035,0%@2035,0%@2030,4%@2031,100%@2031] EMC_FREQ 17%@1866 GR3D_FREQ 98%@522 APE 150 MTS fg 0% bg 0% PLL@56C MCPU@56C PMIC@50C Tboard@51C GPU@55.5C BCPU@56C thermal@55.3C Tdiode@55.5C VDD_SYS_GPU 1598/621 VDD_SYS_SOC 1141/989 VDD_4V0_WIFI 0/19 VDD_IN 7273/5772 VDD_SYS_CPU 1217/1481 VDD_SYS_DDR 2035/1501
RAM 2468/7850MB (lfb 350x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2030,0%@2036,0%@2036,0%@2030,2%@2029,100%@2028] EMC_FREQ 10%@1866 GR3D_FREQ 99%@522 APE 150 MTS fg 0% bg 0% PLL@55.5C MCPU@55.5C PMIC@50C Tboard@51C GPU@55.5C BCPU@55.5C thermal@55.8C Tdiode@55.5C VDD_SYS_GPU 1675/655 VDD_SYS_SOC 989/989 VDD_4V0_WIFI 0/19 VDD_IN 6514/5796 VDD_SYS_CPU 1218/1473 VDD_SYS_DDR 1519/1501
