RAM 2455/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2029,0%@2036,0%@2035,0%@2027,2%@2031,100%@2029] EMC_FREQ 15%@1866 GR3D_FREQ 98%@1122 APE 150 MTS fg 0% bg 0% PLL@53C MCPU@53C PMIC@50C Tboard@48C GPU@55C BCPU@53C thermal@53.8C Tdiode@55C VDD_SYS_GPU 4485/953 VDD_SYS_SOC 1140/957 VDD_4V0_WIFI 0/28 VDD_IN 10192/6099 VDD_SYS_CPU 1216/1531 VDD_SYS_DDR 2092/1469
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [9%@2030,0%@2035,0%@2035,0%@2027,7%@2029,100%@2030] EMC_FREQ 27%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@54C BCPU@53.5C thermal@53.5C Tdiode@53.75C VDD_SYS_GPU 2965/1034 VDD_SYS_SOC 1368/973 VDD_4V0_WIFI 0/26 VDD_IN 9964/6254 VDD_SYS_CPU 1216/1519 VDD_SYS_DDR 2899/1526
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2029,0%@2034,0%@2035,5%@2029,8%@2027,100%@2026] EMC_FREQ 20%@1866 GR3D_FREQ 96%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@55.5C BCPU@53.5C thermal@54.3C Tdiode@54.75C VDD_SYS_GPU 4561/1169 VDD_SYS_SOC 1140/979 VDD_4V0_WIFI 0/25 VDD_IN 10116/6402 VDD_SYS_CPU 1216/1507 VDD_SYS_DDR 1977/1543
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2026,0%@2035,0%@2034,0%@2027,11%@2032,100%@2031] EMC_FREQ 15%@1866 GR3D_FREQ 97%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@54.3C Tdiode@56C VDD_SYS_GPU 5016/1312 VDD_SYS_SOC 1064/983 VDD_4V0_WIFI 0/24 VDD_IN 10420/6551 VDD_SYS_CPU 1216/1496 VDD_SYS_DDR 1846/1555
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2027,0%@2035,0%@2034,0%@2025,7%@2025,100%@2028] EMC_FREQ 12%@1866 GR3D_FREQ 97%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55.5C BCPU@53.5C thermal@53.9C Tdiode@55.5C VDD_SYS_GPU 4713/1433 VDD_SYS_SOC 1064/985 VDD_4V0_WIFI 0/24 VDD_IN 9926/6672 VDD_SYS_CPU 1216/1486 VDD_SYS_DDR 1750/1562
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [10%@2034,0%@2035,0%@2034,0%@2034,10%@2036,100%@2035] EMC_FREQ 13%@1866 GR3D_FREQ 97%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@56C BCPU@53.5C thermal@54.5C Tdiode@55.75C VDD_SYS_GPU 4940/1554 VDD_SYS_SOC 1064/988 VDD_4V0_WIFI 0/23 VDD_IN 10458/6802 VDD_SYS_CPU 1292/1479 VDD_SYS_DDR 1884/1573
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [14%@2028,0%@2035,0%@2035,7%@2027,12%@2027,100%@2029] EMC_FREQ 13%@1866 GR3D_FREQ 31%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@53.5C BCPU@53.5C thermal@53.5C Tdiode@53.5C VDD_SYS_GPU 2966/1601 VDD_SYS_SOC 1064/991 VDD_4V0_WIFI 0/22 VDD_IN 8678/6865 VDD_SYS_CPU 1369/1476 VDD_SYS_DDR 1958/1586
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [7%@2029,0%@2036,0%@2036,9%@2027,13%@2029,100%@2028] EMC_FREQ 15%@1866 GR3D_FREQ 99%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@54C BCPU@53.5C thermal@53.7C Tdiode@54C VDD_SYS_GPU 3270/1655 VDD_SYS_SOC 1216/998 VDD_4V0_WIFI 0/21 VDD_IN 9359/6945 VDD_SYS_CPU 1292/1470 VDD_SYS_DDR 2246/1607
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2031,0%@2035,0%@2034,1%@2027,11%@2029,100%@2029] EMC_FREQ 19%@1866 GR3D_FREQ 93%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55C BCPU@53.5C thermal@53.7C Tdiode@55.5C VDD_SYS_GPU 4333/1739 VDD_SYS_SOC 1140/1002 VDD_4V0_WIFI 0/21 VDD_IN 10154/7045 VDD_SYS_CPU 1292/1464 VDD_SYS_DDR 2112/1623
RAM 2473/7850MB (lfb 346x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2029,0%@2034,0%@2035,2%@2029,14%@2025,100%@2025] EMC_FREQ 17%@1866 GR3D_FREQ 71%@1122 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@48C GPU@55C BCPU@53.5C thermal@54.3C Tdiode@56C VDD_SYS_GPU 4561/1824 VDD_SYS_SOC 1140/1007 VDD_4V0_WIFI 0/20 VDD_IN 10268/7143 VDD_SYS_CPU 1292/1459 VDD_SYS_DDR 2035/1635
