RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [7%@2030,0%@2035,0%@2035,0%@2026,3%@2031,100%@2031] EMC_FREQ 10%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.6C Tdiode@53C VDD_SYS_GPU 1218/540 VDD_SYS_SOC 1065/956 VDD_4V0_WIFI 0/0 VDD_IN 6702/5551 VDD_SYS_CPU 1218/1464 VDD_SYS_DDR 1942/1452
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2034,0%@2034,0%@2035,0%@2033,2%@2036,100%@2035] EMC_FREQ 15%@1866 GR3D_FREQ 99%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.6C Tdiode@53C VDD_SYS_GPU 1065/557 VDD_SYS_SOC 1217/964 VDD_4V0_WIFI 0/0 VDD_IN 7006/5598 VDD_SYS_CPU 1217/1456 VDD_SYS_DDR 2227/1477
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [2%@2029,0%@2035,0%@2034,0%@2028,2%@2031,100%@2031] EMC_FREQ 17%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.6C Tdiode@53.25C VDD_SYS_GPU 1294/580 VDD_SYS_SOC 1141/970 VDD_4V0_WIFI 0/0 VDD_IN 7120/5645 VDD_SYS_CPU 1217/1448 VDD_SYS_DDR 2169/1499
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2029,0%@2036,0%@2035,0%@2028,1%@2029,100%@2030] EMC_FREQ 10%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.8C Tdiode@53.5C VDD_SYS_GPU 1447/606 VDD_SYS_SOC 989/970 VDD_4V0_WIFI 0/0 VDD_IN 6323/5666 VDD_SYS_CPU 1218/1441 VDD_SYS_DDR 1538/1500
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2031,0%@2035,0%@2036,0%@2031,1%@2032,100%@2032] EMC_FREQ 7%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.8C Tdiode@53C VDD_SYS_GPU 1370/629 VDD_SYS_SOC 989/971 VDD_4V0_WIFI 0/0 VDD_IN 6285/5684 VDD_SYS_CPU 1218/1435 VDD_SYS_DDR 1557/1502
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [5%@2031,0%@2035,0%@2035,0%@2028,1%@2029,100%@2030] EMC_FREQ 5%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.8C Tdiode@53.25C VDD_SYS_GPU 1370/650 VDD_SYS_SOC 989/971 VDD_4V0_WIFI 0/0 VDD_IN 6095/5696 VDD_SYS_CPU 1218/1429 VDD_SYS_DDR 1461/1500
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2030,0%@2034,0%@2034,0%@2030,0%@2031,100%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.8C Tdiode@53.25C VDD_SYS_GPU 1370/670 VDD_SYS_SOC 1065/974 VDD_4V0_WIFI 0/0 VDD_IN 6438/5716 VDD_SYS_CPU 1218/1423 VDD_SYS_DDR 1653/1505
RAM 2468/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [4%@2030,0%@2035,0%@2035,0%@2029,1%@2031,100%@2032] EMC_FREQ 6%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@53.5C MCPU@53.5C PMIC@50C Tboard@49C GPU@53C BCPU@53.5C thermal@53.8C Tdiode@53C VDD_SYS_GPU 1370/689 VDD_SYS_SOC 989/974 VDD_4V0_WIFI 0/0 VDD_IN 6362/5734 VDD_SYS_CPU 1218/1417 VDD_SYS_DDR 1615/1508
RAM 2469/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [6%@2032,0%@2034,0%@2034,0%@2032,1%@2031,100%@2032] EMC_FREQ 6%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53C BCPU@54C thermal@53.6C Tdiode@53C VDD_SYS_GPU 1294/705 VDD_SYS_SOC 989/975 VDD_4V0_WIFI 0/0 VDD_IN 6247/5747 VDD_SYS_CPU 1218/1412 VDD_SYS_DDR 1615/1510
RAM 2469/7850MB (lfb 359x4MB) SWAP 53/3925MB (cached 7MB) CPU [3%@2030,0%@2034,0%@2034,2%@2031,0%@2032,100%@2031] EMC_FREQ 4%@1866 GR3D_FREQ 98%@420 APE 150 MTS fg 0% bg 0% PLL@54C MCPU@54C PMIC@50C Tboard@49C GPU@53.5C BCPU@54C thermal@53.3C Tdiode@53.25C VDD_SYS_GPU 1370/722 VDD_SYS_SOC 989/975 VDD_4V0_WIFI 0/0 VDD_IN 6133/5757 VDD_SYS_CPU 1218/1407 VDD_SYS_DDR 1461/1509
